Suburb,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total Persons
Goulburn,1390,1469,1384,1491,1383,1447,1377,1384,1523,1443,1572,1461,1350,1197,1087,737,590,621,22906
Goulburn Region,623,813,854,771,528,445,536,645,805,885,1017,912,1015,900,713,481,299,243,12485
Yass,499,462,436,419,381,358,366,428,529,424,449,404,362,385,246,221,181,188,6738
Yass Region,665,868,939,802,457,388,566,798,956,949,964,857,779,621,443,255,121,115,11543
Young,735,748,762,756,613,523,551,609,640,688,634,614,671,658,496,377,284,315,10674
Young Region,470,552,556,450,272,347,265,368,558,486,582,539,625,558,428,293,206,190,7745
Braidwood,192,246,248,176,86,136,168,188,274,247,324,295,271,285,222,136,82,59,3635
Karabar,535,640,600,617,609,709,684,574,623,677,615,638,495,346,295,167,126,106,9056
Queanbeyan,709,504,492,565,871,1074,1115,835,823,693,688,620,591,435,338,280,242,320,11195
Queanbeyan,319,263,182,221,471,623,411,372,363,327,386,296,245,223,135,115,71,74,5097
Queanbeyan Region,981,994,1202,1144,794,586,709,899,1236,1349,1341,1251,985,771,474,237,127,95,15175
Queanbeyan West,994,1010,1100,1048,907,790,970,1018,1312,1162,1028,754,492,357,222,148,80,74,13466
Bombala,112,159,149,151,99,106,106,126,140,161,178,228,168,190,122,77,61,94,2427
Cooma,421,456,390,473,425,334,400,388,465,533,501,445,413,427,297,255,220,231,7074
Cooma Region,124,181,240,199,98,84,101,166,238,250,332,261,241,250,213,126,74,72,3250
Jindabyne,433,499,493,619,412,414,352,399,585,505,582,496,410,375,242,174,98,85,7173
Batemans Bay,423,543,421,416,239,337,334,413,441,433,445,617,680,757,526,376,266,238,7905
Batemans Bay,442,458,518,491,314,356,405,340,463,447,618,573,666,852,699,424,303,319,8688
Bega,471,498,476,592,422,443,412,445,482,505,692,708,639,496,438,343,233,213,8508
Bega-Eden Hinterland,447,557,619,638,259,283,319,384,577,704,900,1012,858,656,400,234,156,113,9116
Broulee,166,129,227,185,101,72,133,116,134,190,225,230,281,234,201,156,127,138,3045
Deua,8,4,1,1,2,4,3,1,3,7,3,5,6,6,4,0,0,2,60
Eden,160,176,209,229,124,145,153,168,160,182,248,270,264,243,195,173,107,121,3327
Eurobodalla Hinterland,118,207,215,188,108,126,130,146,181,244,345,339,335,291,169,102,61,68,3373
Merimbula,430,521,522,534,429,298,397,403,540,608,771,882,867,974,768,590,382,410,10326
Moruya,345,431,500,485,311,225,244,351,475,481,602,701,678,742,580,389,257,213,8010
Narooma,314,494,437,414,215,207,273,344,450,453,599,845,952,949,744,484,370,403,8947
Avoca Beach,382,585,646,547,358,328,314,430,642,626,584,566,473,353,233,171,101,132,7471
Box Head,549,607,768,677,526,395,405,526,749,710,868,796,802,826,624,460,291,311,10890
Calga,246,293,327,300,217,206,220,283,378,403,345,329,307,330,210,138,90,64,4686
Erina,589,810,854,1019,748,577,549,649,874,882,1041,946,866,975,821,784,654,728,14366
Gosford,1232,1017,910,1003,1386,1655,1382,1196,1128,1195,1380,1250,1123,929,734,584,499,636,19239
Kariong,497,531,534,656,497,337,454,494,509,535,528,365,210,233,118,126,74,54,6752
Kincumber,394,456,444,496,466,354,311,372,436,485,509,446,342,412,295,313,321,581,7433
Narara,394,433,465,539,486,442,392,425,484,419,586,491,454,347,206,112,116,112,6903
Niagara Park,621,635,591,695,595,505,437,471,685,609,653,547,464,406,222,137,124,75,8472
Point Clare,397,482,386,355,313,279,337,381,464,471,448,397,353,408,369,308,206,216,6570
Saratoga,382,490,410,480,431,294,417,395,461,453,462,443,453,373,334,278,208,207,6971
Terrigal,766,734,745,851,968,862,812,766,878,814,944,1033,932,904,656,449,286,252,13652
Umina,1447,1421,1291,1233,1166,1203,1378,1383,1549,1388,1532,1494,1462,1699,1351,996,786,935,23714
Wamberal,647,783,702,706,571,484,588,665,792,635,695,698,537,476,318,283,217,194,9991
Woy Woy,708,709,695,790,731,641,707,717,906,933,963,910,993,1069,798,602,533,657,14062
Wyoming,733,726,689,827,642,635,753,713,733,726,736,679,641,602,510,341,356,537,11579
Bateau Bay,1453,1457,1319,1480,1302,1346,1408,1320,1429,1308,1514,1380,1269,1263,917,748,708,850,22471
Blue Haven,794,1008,944,918,659,770,775,754,828,670,617,607,481,505,415,285,156,111,11297
Budgewoi,604,530,497,517,530,520,450,414,582,511,637,691,564,598,557,456,318,309,9285
Chittaway Bay,1097,1205,1052,1137,1038,1031,929,871,1074,1053,1218,1051,846,766,535,439,384,438,16164
Gorokan,1265,1370,1444,1427,1389,1191,1221,1086,1300,1375,1355,1364,1258,1235,1041,820,729,730,21600
Jilliby,162,204,261,251,198,131,135,173,249,231,257,224,230,211,129,88,61,47,3242
Lake Munmorah,566,670,646,632,521,470,508,495,610,613,674,617,678,870,823,631,404,289,10717
Ourimbah,286,361,370,416,400,230,281,295,375,366,461,371,314,212,169,115,46,63,5131
Summerland Point,342,355,395,369,204,286,234,310,405,368,406,341,402,458,345,219,136,115,5690
The Entrance,874,839,797,785,940,863,817,736,996,873,901,975,934,995,837,623,536,489,14810
Toukley,525,490,458,589,588,539,506,522,449,502,604,635,613,656,577,453,397,419,9522
Tuggerah,360,389,372,377,306,345,357,320,461,371,334,322,293,251,228,142,103,60,5391
Warnervale,1056,1318,1211,984,646,624,836,1061,1213,928,772,716,702,684,530,379,236,218,14114
Wyong,603,594,454,631,660,541,507,481,607,532,595,578,520,490,378,287,173,191,8822
Bathurst,1436,1560,1535,2045,2846,1834,1511,1339,1613,1447,1468,1418,1179,1124,876,701,503,588,25023
Bathurst,790,915,781,759,590,674,656,658,798,585,652,599,546,479,340,269,183,94,10368
Bathurst Region,369,444,585,519,326,231,285,345,452,535,629,552,541,481,318,159,101,77,6949
Oberon,278,303,264,301,271,279,216,244,308,287,303,311,372,329,227,160,104,101,4658
Condobolin,548,578,442,360,367,415,481,396,424,416,454,491,446,392,319,282,199,202,7212
Cowra,496,566,625,629,520,422,434,439,530,542,589,639,644,618,480,434,319,347,9273
Cowra Region,301,379,356,367,229,231,260,257,344,393,450,420,448,399,339,232,132,127,5664
Forbes,687,673,726,773,613,592,481,499,611,657,700,678,659,625,513,436,276,257,10456
Grenfell,212,233,214,215,111,134,156,170,198,273,274,253,286,289,237,170,129,136,3690
Parkes ,795,819,874,886,716,611,682,637,737,682,718,698,547,522,507,415,304,341,11491
Parkes Region,202,244,245,225,141,101,161,203,191,224,290,260,281,214,162,125,94,87,3450
West Wyalong,409,474,454,328,246,280,362,332,336,325,423,418,349,335,282,239,183,202,5977
Lithgow,762,755,755,705,860,779,743,720,820,803,948,893,841,792,646,495,329,343,12989
Lithgow Region,413,589,542,522,423,372,359,446,530,600,698,612,645,550,434,248,142,120,8245
Mudgee,854,837,794,694,699,841,667,656,790,774,765,596,568,542,456,390,281,289,11493
Mudgee Region,170,195,245,207,111,136,140,151,217,272,232,251,244,272,227,172,93,118,3453
Mudgee Region,624,696,722,664,450,434,470,594,739,715,813,791,765,796,551,364,234,146,10568
Wollangambe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,518,571,591,482,427,351,409,363,533,470,520,494,435,398,301,257,182,129,7431
Orange,1446,1315,1251,1632,1470,1567,1361,1164,1195,1171,1225,1267,1160,1047,818,713,585,586,20973
Orange,1747,1528,1349,1174,1214,1307,1476,1346,1337,1150,1167,1013,901,721,499,379,255,230,18793
Orange Region,722,874,943,790,564,509,620,617,787,790,891,788,797,736,530,325,244,167,11694
Grafton,1113,1244,1227,1249,1150,937,1005,941,1148,993,1341,1263,1065,1084,890,790,648,610,18698
Grafton Region,703,985,1024,1125,555,473,570,679,993,1168,1327,1403,1385,1258,745,473,270,216,15352
Maclean,723,856,958,970,646,519,607,726,928,886,1132,1369,1409,1467,1194,919,653,566,16528
Bellingen,422,475,504,428,224,213,285,331,429,393,464,553,433,301,269,167,114,138,6143
Coffs Harbour,1153,1047,1142,1075,933,950,876,990,1168,1049,1195,1186,1117,1021,842,603,434,511,17292
Coffs Harbour,553,574,531,592,854,762,561,512,572,584,650,649,640,641,498,427,368,382,10350
Coramba,194,266,245,293,181,158,185,187,281,289,333,326,291,192,139,108,37,29,3734
Dorrigo,182,191,188,208,132,160,149,115,192,206,318,311,264,259,162,118,84,94,3333
Korora,488,596,572,617,397,275,432,484,624,613,605,689,589,489,353,195,149,116,8283
Sawtell,1103,1285,1334,1436,1042,932,943,1045,1268,1392,1508,1448,1290,1262,875,673,535,499,19870
Urunga,195,247,274,294,175,161,133,161,270,321,351,434,417,323,271,228,163,160,4578
Woolgoolga,779,773,812,743,503,632,667,601,738,728,863,1009,1011,756,543,450,345,304,12257
Bourke,412,426,319,252,265,335,263,243,331,289,353,290,209,178,130,109,62,59,4525
Cobar,421,420,319,284,351,407,388,382,323,304,318,336,229,175,170,124,94,75,5120
Coonamble,315,292,257,320,344,278,247,211,269,268,337,307,267,248,200,149,115,99,4523
Nyngan,403,446,353,309,313,309,260,314,394,393,396,324,323,298,270,193,129,114,5541
Walgett,506,540,407,349,420,439,402,387,471,468,515,581,458,451,392,213,117,120,7236
Broken Hill,1050,1090,1205,1148,1160,1137,1009,853,1162,1183,1451,1360,1274,1164,890,744,604,564,19048
Far West,187,197,205,127,137,162,230,176,195,197,204,221,175,164,103,61,24,26,2791
Coonabarabran,426,584,576,490,325,383,350,396,525,523,583,626,614,561,491,380,263,239,8335
