SUBURB,POSTCODE,HOUSE PRICE,HOUSE RENT PRICE,UNIT PRICE,UNIT RENT PRICE
WARRAWEE,2074,2305000,1100,786000,560
NORTH STRATHFIELD,2137,1390000,700,642000,530
VOYAGER POINT,2172,650000,620,0,0
SADLEIR,2168,495000,397.5,0,0
CECIL HILLS,2171,760000,555,518833,0
RUSE,2560,486000,410,272750,0
GYMEA,2227,950000,650,680000,475
MIDDLETON GRANGE,2171,662100,550,504166,0
ENGADINE,2233,797000,590,552000,410
LONDONDERRY,2753,885000,470,215000,0
NORTH EPPING,2121,1280000,640,1170000,0
SCARBOROUGH,2515,706000,600,0,0
TELOPEA,2117,939500,495,630000,447.5
OATLEY,2223,1350000,635,652750,455
MARSDEN PARK,2765,1810202,475,0,0
LUDDENHAM,2745,1303500,450,0,0
SHANES PARK,2747,770000,0,0,0
BONNYRIGG,2177,626500,470,441625,0
QUEENS PARK,2022,1831000,1200,842500,620
DARLINGHURST,2010,1395000,870,740000,550
CHATSWOOD WEST,2067,1470500,770,1150000,0
MORTLAKE,2137,1420000,725,910000,650
CREMORNE,2090,2167500,1250,840000,620
WAITARA,2077,1422625,740,605000,500
ORCHARD HILLS,2748,1335000,640,0,0
STRATHFIELD SOUTH,2136,1100000,590,600000,465
WILLMOT,2770,375000,320,226000,0
REVESBY HEIGHTS,2212,865000,610,710000,0
BERALA,2141,846250,480,446000,380
BONDI,2026,1900000,1150,860000,667.5
WAVERLEY,2024,1815000,1150,679000,560
KINGSFORD,2032,1750000,800,742500,540
BOX HILL,2765,2150000,580,0,0
MOUNT LEWIS,2190,871500,665,310000,0
KENTHURST,2156,1566000,720,740000,0
WERRINGTON COUNTY,2747,500000,430,496750,0
BELFIELD,2191,1010000,580,640000,495
FRENCHS FOREST,2086,1250000,850,756785,0
OLD GUILDFORD,2161,724000,450,502446,0
KURNELL,2231,880000,650,495000,0
MULGOA,2745,1225000,515,405000,0
BUSBY,2168,495000,400,0,0
BRINGELLY,2556,1225000,580,0,0
EAGLE VALE,2558,470000,400,396142,390
TEMPE,2044,950000,622.5,768750,450
LAKEMBA,2195,790000,480,376000,360
MEADOWBANK,2114,3250000,285,560000,420
ST MARYS,2760,509000,375,392750,360
HURSTVILLE,2220,1300000,590,645000,480
DUNDAS VALLEY,2117,907500,500,758000,610
WEST PYMBLE,2073,1334000,794.5,1015000,0
CROWS NEST,2065,1445000,900,789000,545
WARWICK FARM,2170,540000,397.5,392500,320
ROCKDALE,2216,1026250,590,595500,492.5
ST JOHNS PARK,2176,667500,470,438000,0
NORTH ROCKS,2151,1066000,590,688000,550
ULTIMO,2007,1283250,705,510000,580
JAMISONTOWN,2750,560850,440,370000,350
BEACONSFIELD,2015,1076000,680,754000,555
MIRANDA,2228,950500,600,597000,460
WEDDERBURN,2560,900000,0,0,0
HORNINGSEA PARK,2171,645000,550,299000,0
BALMAIN EAST,2041,2520000,1125,943200,580
MERRYLANDS WEST,2160,717000,515,406500,380
KENTLYN,2560,855357,0,0,0
CANLEY VALE,2166,662000,420,360000,330
SILVERWATER,2128,767500,450,548000,535
CHISWICK,2046,2364000,690,745000,600
WOOLOOWARE,2230,1350000,850,795000,415
HINCHINBROOK,2168,615000,470,475000,0
ROSE BAY,2029,2885000,1650,926000,650
MILSONS PASSAGE,2083,549000,0,0,0
CONCORD WEST,2138,1602500,650,840000,460
REDFERN,2016,1180000,800,759500,600
PEMULWUY,2145,781000,600,485505,445
MILLERS POINT,2000,1803111,0,1075000,945
DURAL,2158,1300000,700,650000,522.5
ENGLORIE PARK,2560,449100,400,436166,0
DUNDAS,2117,913500,500,634000,470
MORTDALE,2223,940000,580,570000,410
LUGARNO,2210,1060000,635,885444,0
MAROUBRA,2035,1520000,830,740000,567.5
PADSTOW,2211,850000,530,613500,457.5
ST IVES,2075,1550000,1050,750000,650
PEAKHURST HEIGHTS,2210,998000,565,623666,0
MARAYONG,2148,565000,420,450000,420
ACACIA GARDENS,2763,700000,530,624000,0
OXLEY PARK,2760,566750,400,398000,390
HOMEBUSH,2140,1556500,600,600000,520
BARDWELL VALLEY,2207,1105000,645,750125,485
LUCAS HEIGHTS,2234,0,0,0,0
KELLYVILLE,2155,950000,650,720000,575
CHELTENHAM,2119,1330000,715,1191250,0
HEATHCOTE,2233,815402,577.5,625000,470
OLD TOONGABBIE,2146,720000,520,571800,0
ROOKWOOD,2141,0,0,0,0
LANE COVE NORTH,2066,1520000,850,652000,492.5
OAKHURST,2761,520000,410,443647,0
TOONGABBIE,2146,727000,440,481000,430
HUNTLEYS POINT,2111,3481500,0,2431500,0
MOUNT KURING-GAI,2080,860000,560,470000,0
GEORGES HALL,2198,770500,550,578000,500
THORNLEIGH,2120,1000000,600,730000,617.5
DACEYVILLE,2032,1251666,0,680000,0
CABARITA,2137,2080000,925,1230000,885
GREENWICH,2065,2165000,1100,682500,540
WALLACIA,2745,548000,460,240000,0
VARROVILLE,2566,1010000,0,0,0
COTTAGE POINT,2084,1673333,0,0,0
FAIRLIGHT,2094,1690000,1200,880000,700
BONDI BEACH,2026,2055000,1250,864000,690
LETHBRIDGE PARK,2770,389000,330,354000,0
BEXLEY NORTH,2207,996000,580,632500,500
HOLSWORTHY,2173,639250,495,560250,500
ST CLAIR,2759,550000,420,507500,0
BREAKFAST POINT,2137,2337500,1700,965000,690
WERRINGTON DOWNS,2747,505000,395,0,0
SMEATON GRANGE,2567,161000,0,497000,350
DOLLS POINT,2219,1690350,790,605000,460
GREENDALE,2745,1586666,0,0,0
GLENDENNING,2761,535000,420,418000,0
CASULA,2170,650000,490,467000,440
PENSHURST,2222,1200000,580,550000,410
RAMSGATE,2217,967000,500,635000,550
CASTLE HILL,2154,1250000,680,745000,550
HOLROYD,2142,965500,495,525775,462.5
MOOREBANK,2170,720000,500,505550,440
SYDNEY OLYMPIC PARK,2127,0,0,682500,530
AGNES BANKS,2753,722500,405,0,0
SPRING FARM,2570,565000,500,440083,450
MASCOT,2020,1085000,700,754500,610
GYMEA BAY,2227,1102000,720,870000,580
BLAIR ATHOL,2560,581500,490,0,0
SCOTLAND ISLAND,2105,650000,600,0,0
LANSVALE,2166,633000,450,750000,0
CASTLEREAGH,2749,1275000,0,0,0
HOMEBUSH WEST,2140,988000,500,550000,460
BEVERLEY PARK,2217,1225000,570,1127200,0
LITTLE BAY,2036,1420000,850,855000,620
MILPERRA,2214,732500,540,1080000,0
PLUMPTON,2761,530000,425,425625,430
STANWELL TOPS,2508,937166,0,0,0
BEROWRA HEIGHTS,2082,825750,630,630000,0
FORESTVILLE,2087,1267500,850,857550,560
CASTLECRAG,2068,2357500,1400,903750,0
HASSALL GROVE,2761,540000,400,0,0
WATTLE GROVE,2173,675000,510,514078,480
