agnes banks, 722500
denistone west, 1210000
regents park, 795000
south granville, 710000
south windsor, 470000
wahroonga, 1420000
hoxton park, 622500
burwood, 1800000
woolooware, 1350000
st andrews, 493500
camperdown, 1265000
colebee, 573000
sydenham, 887500
berala, 846250
doonside, 550000
blair athol, 581500
greystanes, 726000
castle cove, 1915000
woodpark, 652500
heckenberg, 520000
cabramatta, 737000
marayong, 565000
bangor, 868000.5
kentlyn, 855357
colyton, 475500
palm beach, 2150000
breakfast point, 2337500
beaconsfield, 1076000
stanwell park, 1035000
kearns, 541000
pyrmont, 1165000
carramar, 550000
huntleys point, 3481500
hammondville, 642500
epping, 1550000
bass hill, 722500
surry hills, 1330000
glenorie, 1442500
hebersham, 445000
west ryde, 1250000
lakemba, 790000
elderslie, 590000
narraweena, 1181000
millers point, 1803111
newport, 1400000
kyle bay, 1450000
west pennant hills, 1318000
raby, 480000
great mackerel beach, 377500
point piper, 10000000
guildford west, 650000
mortlake, 1420000
five dock, 1421000
bexley, 988000
riverview, 1805000
dangar island, 749166
bardwell valley, 1105000
asquith, 1050000
bonnyrigg, 626500
forestville, 1267500
duffys forest, 3685000
mona vale, 1325000
banksia, 940000
north epping, 1280000
caringbah south, 1282000
mount lewis, 871500
old guildford, 724000
st helens park, 466000
winston hills, 859000
dover heights, 2836000
nelson, 1414000
burraneer, 1740000
casula, 650000
clarendon, 618750
guildford, 715000
beacon hill, 1166250
lidcombe, 950000
middleton grange, 662100
catherine field, 1725000
ingleside, 2825000
queens park, 1831000
fairfield east, 619500
brooklyn, 700592
belmore, 925000
wombarra, 847500
greenwich, 2165000
pymble, 1820000
elanora heights, 1192500
mulgoa, 1225000
north rocks, 1066000
cherrybrook, 1212500
whalan, 388000
gilead, 11050000
orchard hills, 1335000
north balgowlah, 1580000
bonnet bay, 952500
burwood heights, 1915000
glenmore park, 622750
claymore, 85000
maianbar, 930000
minchinbury, 615000
sadleir, 495000
clyde, 1037500
busby, 495000
pitt town, 912500
taren point, 1400000
blakehurst, 1455000
berrilee, 1680000
richmond, 520000
dawes point, 2866250
hurstville grove, 1350000
hurstville, 1300000
south coogee, 1800500
