SUBURB,HOUSE PRICE,UNIT PRICE
CARLINGFORD,1179000,700000
DENISTONE WEST,1210000,685000
CABRAMATTA WEST,736000,300000
MOUNT KURING-GAI,860000,470000
BALMAIN,1550000,800000
TURRAMURRA,1560000,762000
CONNELLS POINT,1690000,830000
MONA VALE,1325000,850000
PORT HACKING,1490000,875000
OAKHURST,520000,443647
LUGARNO,1060000,885444
NEUTRAL BAY,1745500,797500
BADGERYS CREEK,1320000,0
GUILDFORD,715000,407500
RYDE,1318000,620000
PETERSHAM,1204000,670000
CRANEBROOK,525000,416500
DOLANS BAY,1400000,1442500
WINDSOR,587500,380416
BLAIR ATHOL,581500,0
THE PONDS,862750,755000
SOUTH WINDSOR,470000,393500
ROPES CROSSING,550000,475000
NEWINGTON,1114000,630000
OATLEY,1350000,652750
WISEMANS FERRY,225000,0
PENRITH,535000,365000
WORONORA,920000,615000
MOUNT COLAH,880000,720000
MCMAHONS POINT,2680000,775000
ELIZABETH BAY,4025000,696000
MILPERRA,732500,1080000
MOUNT PRITCHARD,580000,440000
ROOTY HILL,555250,460000
ROSELANDS,863500,455500
MORTLAKE,1420000,910000
LLANDILO,970290,0
SURRY HILLS,1330000,747500
DULWICH HILL,1253787.5,650000
SOUTH WENTWORTHVILLE,710000,508000
KELLYVILLE RIDGE,850000,525000
LEUMEAH,475000,330000
GREAT MACKEREL BEACH,377500,0
WINSTON HILLS,859000,278146
EDENSOR PARK,697500,522500
CHURCH POINT,1470000,2450000
SPRING FARM,565000,440083
FORESTVILLE,1267500,857550
MIRANDA,950500,597000
ARTARMON,1950000,750000
NARELLAN VALE,534000,436333
HELENSBURGH,710000,509000
ROSEVILLE CHASE,1750000,0
MULGOA,1225000,405000
SOUTH GRANVILLE,710000,484975
TAMARAMA,3227500,950000
REVESBY,850000,658000
WOOLWICH,4110000,705000
BEECROFT,1402000,690000
NORTH EPPING,1280000,1170000
FAIRFIELD WEST,630000,503000
CAMBRIDGE PARK,489000,427000
CASULA,650000,467000
CABARITA,2080000,1230000
CHATSWOOD,1817500,810000
RYDALMERE,942500,670000
BERKSHIRE PARK,1075000,0
BIRCHGROVE,1680000,990000
MAROOTA,857571,0
PARKLEA,738000,458000
KU-RING-GAI CHASE,1300000,0
PENDLE HILL,779250,442000
POTTS HILL,654333,604500
CONSTITUTION HILL,730000,503500
WOOLLOOMOOLOO,1140166,746100
LUCAS HEIGHTS,0,0
WAHROONGA,1420000,726390
ST IVES CHASE,1527500,1000000
NORTH ST MARYS,450000,342333
BELMORE,925000,456750
MATRAVILLE,1300000,700000
MARAYONG,565000,450000
MANLY,2100000,938750
NORMANHURST,995000,760000
CHIFLEY,1421000,958416
ERMINGTON,996000,740750
BOSSLEY PARK,659750,447388
LEICHHARDT,1182500,780000
EDMONDSON PARK,731920,0
RIVERSTONE,615250,490000
HINCHINBROOK,615000,475000
CASTLE HILL,1250000,745000
NORTH CURL CURL,1600000,915000
ENFIELD,1145000,617000
POTTS POINT,3147500,550000
BOTANY,1137500,731000
PICNIC POINT,900000,694000
BANKSIA,940000,591285
ILLAWONG,1070000,650250
GRAYS POINT,995000,740000
CRONULLA,1675000,645000
FIDDLETOWN,2775000,0
WILLOUGHBY,1700000,700000
SYDNEY,6300000,785000
HARRIS PARK,889000,435000
MARAYLYA,1262500,0
ROSE BAY,2885000,926000
HORNSBY,960000,591000
GEORGES HALL,770500,578000
HOBARTVILLE,500000,400000
BALMAIN EAST,2520000,943200
MACQUARIE LINKS,843500,501400
SEFTON,720000,445000
WAITARA,1422625,605000
OAKVILLE,1850000,0
BELLA VISTA,1295000,470000
OXLEY PARK,566750,398000
BARDEN RIDGE,1000000,730166
WAKELEY,662500,502000
EASTGARDENS,1464000,0
AUSTINMER,965000,635000
HOMEBUSH,1556500,600000
BARANGAROO,0,0
TEMPE,950000,768750
QUEENS PARK,1831000,842500
NORTHMEAD,860750,579000
ASHFIELD,1350000,630000
FAIRFIELD,665000,376000
HARRINGTON PARK,697000,0
KINGSWOOD,524000,363500
HORNINGSEA PARK,645000,299000
ROSEMEADOW,441250,349000
BANKSMEADOW,1250000,471166
SEVEN HILLS,640550,620000
PRAIRIEWOOD,729000,460000
JANNALI,860000,550000
ROSEHILL,760000,456000
ARCADIA,1505000,0
DENISTONE EAST,1320000,1064600
ANNANDALE,1257500,725000
FIVE DOCK,1421000,770000
SYDENHAM,887500,443428
MAYS HILL,1055000,555000
CLARENDON,618750,0
ROUSE HILL,910000,635875
CROYDON,1360000,705000
PADDINGTON,1680000,730000
GREENDALE,1586666,0
PAGEWOOD,1400000,918085
LANE COVE NORTH,1520000,652000
BLACKTOWN,600000,410000
BLAIRMOUNT,526000,272000
TURRELLA,1030000,580000
CHELTENHAM,1330000,1191250
BONNET BAY,952500,650000
MADDENS PLAINS,2130000,0
HENLEY,4329444,2130000
MIDDLE DURAL,1811830,0
LONDONDERRY,885000,215000
THE ROCKS,680000,1350000
LANSVALE,633000,750000
KINGSFORD,1750000,742500
LEPPINGTON,655000,1537500
REGENTS PARK,795000,426000
ABBOTSBURY,800000,0
CANOELANDS,1830666,0
REGENTVILLE,582500,300000
TOONGABBIE,727000,481000
EDGECLIFF,1957285,805000
DENISTONE,1460000,800000
CREMORNE,2167500,840000
PARRAMATTA,940000,550000
MOUNT DRUITT,573500,345000
DUFFYS FOREST,3685000,0
DEAN PARK,535400,200000
SMEATON GRANGE,161000,497000
GRANVILLE,750000,420000
RAMSGATE,967000,635000
CURRANS HILL,490000,426916
LUDDENHAM,1303500,0
BAYVIEW,1650000,1575000
QUEENSCLIFF,2422500,770000
FAIRFIELD HEIGHTS,660000,488750
KINGS LANGLEY,782500,586000
BELFIELD,1010000,640000
BARDWELL VALLEY,1105000,750125
HAYMARKET,10000000,780000
BRADBURY,457000,299500
CARTWRIGHT,500000,449500
WEST RYDE,1250000,600000
MOUNT ANNAN,605000,420000
BURWOOD,1800000,700500
GREGORY HILLS,619500,547078
LETHBRIDGE PARK,389000,354000
ANNANGROVE,1387550,0
COBBITTY,672450,0
LINLEY POINT,3546428,0
BONDI,1900000,860000
ROYAL NATIONAL PARK,0,0
SUMMER HILL,1340000,678000
SOUTH HURSTVILLE,1110000,620000
CARRAMAR,550000,310000
COTTAGE POINT,1673333,0
CREMORNE POINT,4411000,1027500
ROOKWOOD,0,0
NEWPORT,1400000,672500
ULTIMO,1283250,510000
BILGOLA,2708333,683500
PORT BOTANY,0,0
AVALON,2400000,0
BALGOWLAH,1606250,860000
CASTLEREAGH,1275000,0
PUTNEY,1733000,1188750
RANDWICK,2000000,730000
WETHERILL PARK,705000,357000
NORTH BALGOWLAH,1580000,545000
HOLROYD,965500,525775
NORTH WAHROONGA,1410000,316667
EAST LINDFIELD,1865000,0
MILSONS PASSAGE,549000,0
BANKSTOWN AERODROME,0,0
STRATHFIELD,1910000,662500
SMITHFIELD,622500,490000
MENANGLE PARK,1200000,0
KILLARNEY HEIGHTS,1430000,872157
MINCHINBURY,615000,712916
BUSBY,495000,0
NORTH STRATHFIELD,1390000,642000
GALSTON,895000,560187
TAREN POINT,1400000,686111
PLUMPTON,530000,425625
DAVIDSON,1280000,735000
DEE WHY,1350000,620500
LILYVALE,466667,0
ZETLAND,1015000,800000
WOLLSTONECRAFT,2230000,887000
REVESBY HEIGHTS,865000,710000
EASTWOOD,1474000,666888
LAVENDER BAY,5135222,620550
QUAKERS HILL,655000,539000
ALEXANDRIA,1300000,580000
PEMULWUY,781000,485505
BIDWILL,393250,320000
THIRROUL,860000,607000
BAULKHAM HILLS,967500,680000
DARLING POINT,5500000,1570000
CHISWICK,2364000,745000
CHESTER HILL,700000,425000
BIRRONG,767500,600333
GILEAD,11050000,0
NORTH SYDNEY,1770500,735500
NORTH WILLOUGHBY,1876250,706250
WOODCROFT,669500,500250
CARSS PARK,1380000,693333
CONCORD WEST,1602500,840000
HURSTVILLE GROVE,1350000,1058000
PANANIA,850000,630000
PHILLIP BAY,1324285,529000
DARKES FOREST,1400000,0
CANLEY VALE,662000,360000
OXFORD FALLS,1625000,0
DURAL,1300000,650000
RIVERWOOD,880000,585500
NARELLAN,519000,357833
VOYAGER POINT,650000,0
DANGAR ISLAND,749166,0
MAROUBRA,1520000,740000
GLADESVILLE,1500000,607250
DOLLS POINT,1690350,605000
PROSPECT,630000,488005
GLENMORE PARK,622750,457500
NORTH PARRAMATTA,959000,538500
CECIL PARK,1445000,0
LILLI PILLI,1615000,1180000
MASCOT,1085000,754500
NARWEE,972500,556000
YARRAWARRAH,818000,548500
KIRRAWEE,902500,567000
ST PETERS,995000,665000
BELLEVUE HILL,3425000,886500
GLEBE,1460000,687500
