Rank,2013 rank,Name,Selective,Partially selective,State,Gender,Sector,ICSEA* ,2014 score,2013 score,Funding per student (2013)
1,1,"Sydney Grammar, Edgecliff ",Yes,No, NSW,Boys,I,1287,3481,3437,28473
2,2,"Sydney Grammar, St Ives ",Yes,No, NSW,Boys,I,1275,3385,3410,27652
3,4,"St Aloysius' College, Milsons Point",No,Yes, NSW,Boys,I,1233,3268,3231,22940
4,22,"Fintona Girls', Balwyn",No,No, VIC,Girls,I,1187,3245,3148,24465
5,3,"Abbotsleigh, Wahroonga",No,No, NSW,Girls,I,1211,3228,3240,30739
6,15,"Kambala, Rose Bay",No,No, NSW,Girls,I,1192,3204,3161,29824
7,9,"PLC, Burwood",No,No, VIC,Girls,I,1193,3197,3210,27943
8,42,"John Colet, Belrose",No,No, NSW,Coed,I,1228,3190,3117,18229
9,83,"Beverley Hills Primary, Doncaster East",No,No, VIC,Coed,G,1122,3182,3074,9738
10,62,"Meriden, Strathfield",No,No, NSW,Girls,I,1173,3181,3096,26482
11,80,"St Francis of Assisi, Paddington",No,No, NSW,Coed,C,1181,3178,3078,10374
12,14,Artarmon Public ,No,Yes, NSW,Coed,G,1188,3173,3170,8597
13,99,Southmoor Primary,No,No, VIC,Coed,G,1079,3170,3066,10451
14,41,"International School of Western Australia, City Beach",No,No, WA,Coed,I,1174,3167,3121,27140
15,22,St Ives North Public,No,No, NSW,Coed,G,1195,3165,3148,8702
16,11,Ballarat Clarendon College,No,No, VIC,Coed,I,1155,3164,3196,19031
17,6,"St Aidan's Anglican Girls, Corinda",No,No, QLD,Girls,I,1177,3157,3225,21719
18,26,"Erasmus, Hawthorn",No,No, VIC,Coed,I,1180,3153,3143,17511
19,6,Woollahra Public ,No,Yes, NSW,Coed,G,1194,3152,3225,9550
20,27,Mentone Girls' Grammar ,No,No, VIC,Girls,I,1175,3138,3140,23686
21,13,"St Mary's, North Sydney",No,No, NSW,Coed,C,1227,3136,3184,11511
22,76,"St Joseph's Primary, Merewether",No,No, NSW,Coed,C,1165,3127,3081,9706
23,5,"Korowa Anglican Girls', Glen Iris",No,No, VIC,Girls,I,1200,3126,3228,27761
24,50,"Serpell Primary, Templestowe",No,No, VIC,Coed,G,1155,3121,3112,7609
25,85,"Central Coast Grammar, Erina Heights",No,No, NSW,Coed,I,1163,3118,3072,21614
25,58,Loreto Kirribilli,No,No, NSW,Girls,I,1187,3118,3097,24347
27,8,"Haileybury College, Keysborough",No,No, VIC,Coed,I,1156,3117,3217,25479
28,108,"Ironside State, St Lucia",No,No, QLD,Coed,G,1199,3113,3058,9343
28,43,Lindfield East Public,No,No, NSW,Coed,G,1196,3113,3116,9550
30,16,"Ascham, Edgecliff",No,No, NSW,Girls,I,1221,3111,3158,34152
31,40,Beecroft Public,No,Yes, NSW,Coed,G,1198,3110,3124,9074
32,36,"Matthew Pearce Public, Baulkham Bills",No,Yes, NSW,Coed,G,1164,3103,3128,8422
33,102,Doncaster Gardens Primary,No,No, VIC,Coed,G,1133,3101,3061,7887
34,35,Canberra Girls' Grammar,No,No, ACT,Girls,I,1176,3099,3129,22431
34,87,"Queenwood, Mosman",No,No, NSW,Girls,I,1189,3099,3067,29878
34,155,"St Mary's Anglican Girls', Karrinyup",No,No, WA,Girls,I,1176,3099,3032,23560
37,17,"Camberwell Anglican Girls' Grammar, Canterbury",No,No, VIC,Girls,I,1183,3098,3157,24807
37,27,Neutral Bay Public,No,Yes, NSW,Coed,G,1188,3098,3140,8036
37,31,"Wenona, North Sydney",No,No, NSW,Girls,I,1189,3098,3135,31290
40,29,Epping West Public,No,No, NSW,Coed,G,1170,3095,3138,9774
41,12,"SCEGGS, Darlinghurst",No,No, NSW,Girls,I,1220,3094,3193,32931
41,63,"St Philip Neri Catholic Primary, Northbridge",No,No, NSW,Coed,C,1202,3094,3094,11414
43,192,Northbridge Public,No,No, NSW,Coed,G,1200,3093,3019,8832
44,34,Chatswood Public,No,Yes, NSW,Coed,G,1169,3092,3132,9670
45,57,"Pinewood Primary, Mount Waverley",No,No, VIC,Coed,G,1123,3091,3098,8310
46,25,Pymble Ladies' College,No,No, NSW,Girls,I,1201,3086,3144,29705
46,55,"St Andrews Christian College, Wantirna South",No,No, VIC,Coed,I,1186,3086,3100,12543
48,10,Mosman Church of England Preparatory,No,No, NSW,Boys,I,1210,3085,3202,22927
49,350,"Solway Primary, Ashburton",No,No, VIC,Coed,G,1166,3084,2965,9030
50,66,Cammeray Public,No,No, NSW,Coed,G,1185,3081,3091,8408
51,269,"St Peters Lutheran College, Indooroopilly",No,No, QLD,Coed,I,1180,3079,2990,22562
51,92,Sydney Distance Education Primary,No,No, NSW,Coed,G,1106,3079,3069,12659
53,19,Carlingford West Public,No,No, NSW,Coed,G,1138,3077,3154,8785
53,163,"Claremont College, Randwick",No,No, NSW,Coed,I,1177,3077,3028,16730
53,219,"St Leonard's College, Brighton East",No,No, VIC,Coed,I,1162,3077,3005,26433
56,67,Summer Hill Public,No,Yes, NSW,Coed,G,1172,3076,3090,8931
57,18,"Kilvington Grammar, Ormond",No,No, VIC,Coed,I,1169,3075,3156,21808
57,496,Turramurra North Public,No,No, NSW,Coed,G,1179,3075,2936,9407
59,24,"Beaumont Road Public, Killara",No,No, NSW,Coed,G,1201,3074,3146,9084
59,301,"St Peter's Collegiate Girls', Stonyfell",No,No, SA,Girls,I,1167,3074,2981,23310
61,52,"Kincoppal, Rose Bay ",No,No, NSW,Coed,I,1149,3073,3104,29757
61,80,"Murray Farm Public, Carlingford",No,No, NSW,Coed,G,1151,3073,3078,9192
63,55,Pymble Public,No,No, NSW,Coed,G,1193,3072,3100,8725
64,274,"Reddam House, Woollahra",No,No, NSW,Coed,I,1175,3071,2988,25078
65,813,"Brandon Park Primary, Wheelers Hill",No,No, VIC,Coed,G,1082,3069,2882,9220
66,142,Epping Public,No,No, NSW,Coed,G,1153,3067,3039,10005
67,5681,Coorabell Public,No,No, NSW,Coed,G,1124,3066,2388,10136
67,218,"Huntingtower, Mount Waverley",No,No, VIC,Coed,I,1172,3066,3005,20279
67,461,Pretty Beach Public,No,No, NSW,Coed,G,1120,3066,2944,10426
70,111,Roseville College,No,No, NSW,Girls,I,1193,3065,3057,25601
70,90,Roseville Public,No,No, NSW,Coed,G,1191,3065,3066,9546
72,53,Hampton Primary,No,No, VIC,Coed,G,1164,3063,3102,8137
72,125,Rosalie Primary,No,No, WA,Coed,G,1207,3063,3050,10792
74,47,"Camberwell Grammar, Canterbury",No,No, VIC,Boys,I,1189,3062,3112,27387
75,208,Fig Tree Pocket State,No,No, QLD,Coed,G,1186,3061,3010,9516
75,552,"Princes Street Primary, Sandy Bay",No,No, TAS,Coed,G,1166,3061,2926,10832
77,348,Floreat Park Primary,No,No, WA,Coed,G,1198,3059,2965,10438
78,58,"PLC Sydney, Croydon",No,No, NSW,Girls,I,1169,3057,3097,29962
79,490,Ashburton Primary,No,No, VIC,Coed,G,1163,3055,2937,8069
80,96,"Northcross Christian, Ryde",No,No, NSW,Coed,I,1165,3054,3061,11911
81,1503,"Blue Gum Montessori, Bibra Lake",No,No, WA,Coed,I,N/A,3053,2806,13420
81,292,Randwick Public,No,No, NSW,Coed,G,1168,3053,2984,9190
83,152,"Christ Church Grammar, South Yarra",No,No, VIC,Coed,I,1203,3052,3032,23416
83,225,Killara Public,No,No, NSW,Coed,G,1179,3052,3003,9844
83,429,"St Cecilia's Parish, Glen Iris",No,No, VIC,Coed,C,1170,3052,2949,11062
83,213,"The Emanuel School, Randwick",No,No, NSW,Coed,I,1174,3052,3008,24088
83,353,"Tintern, Ringwood East",No,No, VIC,Coed,I,1142,3052,2964,27087
