SUBURB,PRIVATE TRAVEL TIME,PUBLIC TRAVEL TIME
ABBOTSBURY,47 mins,1 hour 36 mins
ABBOTSFORD,19 mins,29 mins
ACACIA GARDENS,35 mins,1 hour 43 mins
AGNES BANKS,55 mins,1 hour 47 mins
AIRDS,53 mins,1 hour 49 mins
ALEXANDRIA,14 mins,20 mins
ALFORDS POINT,34 mins,1 hour 6 mins
ALLAMBIE HEIGHTS,28 mins,48 mins
ALLAWAH,27 mins,1 hour 7 mins
AMBARVALE,52 mins,1 hour 46 mins
ANNANDALE,10 mins,20 mins
ANNANGROVE,42 mins,1 hour 28 mins
ARCADIA,44 mins,1 hour 18 mins
ARNCLIFFE,20 mins,48 mins
ARNDELL PARK,40 mins,1 hour 36 mins
ARTARMON,12 mins,22 mins
ASHBURY,21 mins,46 mins
ASHCROFT,42 mins,1 hour 53 mins
ASHFIELD,19 mins,30 mins
ASQUITH,36 mins,59 mins
AUBURN,30 mins,40 mins
AUSTINMER,1 hour 14 mins,2 hours 20 mins
AUSTRAL,46 mins,2 hours 15 mins
AVALON,51 mins,1 hour 5 mins
BADGERYS CREEK,53 mins,2 hours 26 mins
BALGOWLAH,22 mins,29 mins
BALGOWLAH HEIGHTS,25 mins,47 mins
BALMAIN,10 mins,18 mins
BALMAIN EAST,13 mins,21 mins
BANGOR,39 mins,1 hour 16 mins
BANKSIA,22 mins,54 mins
BANKSMEADOW,18 mins,34 mins
BANKSTOWN,31 mins,54 mins
BANKSTOWN AERODROME,36 mins,1 hour 14 mins
BARANGAROO,5 mins,16 mins
BARDEN RIDGE,38 mins,1 hour 49 mins
BARDWELL PARK,26 mins,35 mins
BARDWELL VALLEY,23 mins,39 mins
BASS HILL,41 mins,1 hour 33 mins
BAULKHAM HILLS,26 mins,33 mins
BAYVIEW,45 mins,1 hour 37 mins
BEACON HILL,30 mins,56 mins
BEACONSFIELD,13 mins,22 mins
BEAUMONT HILLS,37 mins,1 hour 6 mins
BEECROFT,23 mins,46 mins
BELFIELD,25 mins,1 hour 7 mins
BELLA VISTA,33 mins,1 hour 3 mins
BELLEVUE HILL,14 mins,33 mins
BELMORE,29 mins,44 mins
BELROSE,29 mins,1 hour 17 mins
BERALA,35 mins,51 mins
BERKSHIRE PARK,44 mins,1 hour 45 mins
